sku_id,hs_code,supply_origin_country,description,hhi,hhi_risk_band,dominant_partner,dominant_share,geo_conc_flag
SKU0000,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0001,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0002,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0003,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0004,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0005,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0006,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0007,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0008,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0009,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0010,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0011,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0012,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0013,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0014,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0015,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0016,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0017,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0018,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0019,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0020,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0021,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0022,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0023,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0024,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0025,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0026,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0027,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0028,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0029,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0030,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0031,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0032,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0033,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0034,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0035,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0036,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0037,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0038,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0039,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0040,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0041,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0042,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0043,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0044,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0045,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0046,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0047,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0048,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0049,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0050,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0051,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0052,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0053,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0054,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0055,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0056,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0057,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0058,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0059,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0060,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0061,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0062,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0063,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0064,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0065,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0066,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0067,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0068,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0069,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0070,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0071,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0072,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0073,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0074,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0075,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0076,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0077,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0078,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0079,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0080,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0081,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0082,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0083,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0084,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0085,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0086,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0087,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0088,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0089,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0090,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0091,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0092,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0093,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
SKU0094,870899,CAN,Vehicle parts and accessories n.e.c.,3832,High,CHN,47.47,1
