typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","530730513.221","true","-1","N/A","0","false","530730513.221","true","0","false","4441119190.457",,"4441119190.457","6","false","true",
"C","A","20210101","2021","52","2021","251","FRA","France","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1442357345.387","true","-1","N/A","0","false","1442357345.387","true","0","false","6804942320.897",,"6804942320.897","6","false","true",
"C","A","20210101","2021","52","2021","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5886575984.934","0","5886575984.934","0","false","true",
"C","A","20210101","2021","52","2021","376","ISR","Israel","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6316029.649","true","-1","N/A","0","false","6316029.649","true","0","false","98297000","0","98297000","6","false","true",
"C","A","20210101","2021","52","2021","643","RUS","Russian Federation","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","208838129.982","false","8","kg","208838129.982","false","208838129.982","false","0","false","1299080646.298","0","1299080646.298","0","false","true",
"C","A","20210101","2021","52","2021","752","SWE","Sweden","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","241125712.7","true","-1","N/A","0","false","241125712.7","true","0","false","1805039959.821",,"1805039959.821","6","false","true",
"C","A","20210101","2021","52","2021","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","398700846.342","true","-1","N/A","0","false","398700846.342","true","0","false","3285603633.267","0","3285603633.267","6","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1145319403.341","true","-1","N/A","0","false","1145319403.341","true","0","false","15333183800","0","15333183800","6","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","575688556.125","true","-1","N/A","0","false","575688556.125","true","0","false","4595516816.835",,"4595516816.835","6","false","true",
"C","A","20220101","2022","52","2022","251","FRA","France","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1583501402.214","true","-1","N/A","0","false","1583501402.214","true","0","false","7700670430.519",,"7700670430.519","6","false","true",
"C","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","800960605.419","true","-1","N/A","0","false","800960605.419","true","0","false","6196224311.406",,"6196224311.406","6","false","true",
"C","A","20220101","2022","52","2022","376","ISR","Israel","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6385868.958","true","-1","N/A","0","false","6385868.958","true","0","false","101457000",,"101457000","6","false","true",
"C","A","20220101","2022","52","2022","752","SWE","Sweden","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","241890014.448","true","-1","N/A","0","false","241890014.448","true","0","false","1834806739.892",,"1834806739.892","6","false","true",
"C","A","20220101","2022","52","2022","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","216920914.095","true","-1","N/A","0","false","216920914.095","true","0","false","2258000294.081",,"2258000294.081","6","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1339762375.113","true","-1","N/A","0","false","1339762375.113","true","0","false","17333801758","16693511593","17333801758","6","false","true",
"C","A","20230101","2023","52","2023","97","EUR","European Union","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","608625435.561","true","-1","N/A","0","false","608625435.561","true","0","false","4981021363.669",,"4981021363.669","6","false","true",
"C","A","20230101","2023","52","2023","251","FRA","France","M","Import","0","W00","World","0","W00","World","H6","HS","true","870899","Vehicle parts and accessories; n.e.c. in heading no. 8708","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","8778214981.769",,"8778214981.769","0","false","true",
